N0_N1_similarity,N1_N2_similarity,N2_N3_similarity
0.16392857142857142,0.13494261970716265,0.04451510333863275
0.15655133295519003,0.14675052410901468,0.09681978798586573
0.15928571428571428,0.14317099963383376,0.023703703703703703
0.16357142857142856,0.15001803101334296,0.15182113234763794
0.1632142857142857,0.11875480399692544,0.10184473481936972
0.13087674714104194,0.0196078431372549,0.0
0.15528169014084506,0.10307477288609364,0.07826694619147449
0.15180132913606156,0.12836656173487232,0.0021156558533145277
0.1667857142857143,0.1502049944092434,0.1664770572620402
0.14392857142857143,0.15310147006095376,0.1398337112622827
0.1563236449332286,0.13900080580177276,0.0024291497975708503
0.16045702930948832,0.11666666666666667,0.14138972809667674
0.16358839050131926,0.10313174946004319,0.10259179265658748
0.15392857142857144,0.11880832735104092,0.11896046852122986
0.1691762621789194,0.17879890809827115,0.14213893967093236
0.151818856718634,0.15924276169265034,0.15431394906879514
0.13840996168582376,0.11396702230843841,0.13239573229873908
0.13035714285714287,0.14585595367354326,0.06600294985250738
0.16039952996474735,0.06927710843373494,0.047123623011015914
0.1525,0.14912917271407838,0.14362139917695474
0.15828041035661944,0.08954501452081316,0.11568247821878025
0.13194444444444445,0.0,0.0
0.16441441441441443,0.14641744548286603,0.001557632398753894
0.15483870967741936,0.0,0.0
0.13105590062111802,0.1093167701863354,0.024344569288389514
0.16719963453631795,0.13388510223953262,0.0054917623564653024
0.18604651162790697,0.0,0.0
0.13488372093023257,0.0,0.0
0.16776699029126213,0.13454238717840575,0.11784799316823227
0.1382142857142857,0.09722222222222222,0.15294561933534742
0.1309987029831388,0.11505997334517992,0.07066974595842956
0.17246175243393602,0.06358381502890173,0.0
0.16257781032588794,0.16011860637509265,0.15957052943354313
0.14634146341463414,0.15396341463414634,0.004724409448818898
0.048507462686567165,0.0,0.0
0.1665351223362273,0.16540084388185655,0.1356655290102389
0.13669950738916256,0.0,0.0
0.1928297946397494,0.08873483535528597,0.05095320623916811
0.1417857142857143,0.10312382386149793,0.13903541823662396
0.135,0.15037950664136623,0.12607861936720996
0.14601344860710855,0.0,0.0
0.028400597907324365,0.0014903129657228018,0.0
0.16,0.16062364031907178,0.13275299238302501
0.1519324744557974,0.10719071013845467,0.09521680822530175
0.17317574511819117,0.12813370473537605,0.12907117008443908
0.15477293790546803,0.07635694572217111,0.0
0.15678571428571428,0.14911328266377127,0.0627721335268505
0.15642857142857142,0.11442063203777697,0.05579710144927536
0.15507692307692308,0.15887207702888584,0.14167812929848694
0.13392857142857142,0.13961280714817573,0.13848450914520344
0.13211249182472204,0.1484630477436233,0.11362126245847176
0.15321428571428572,0.12401150251617542,0.13120057512580877
0.16162266580811332,0.1708575112830432,0.16145833333333334
0.11548966055403824,0.14865392118611004,0.09140839544919577
0.12376237623762376,0.07730061349693251,0.004895960832313341
0.09411764705882353,0.12631578947368421,0.0
0.15330867242087956,0.1669484361792054,0.05827307528711187
0.141643059490085,0.09936406995230525,0.0
0.1518100428182172,0.13798510388083104,0.000819000819000819
0.098026734563972,0.11421319796954314,0.07614213197969544
0.13607142857142857,0.1317016317016317,0.13050570962479607
0.15964285714285714,0.1493948562783661,0.10241874527588814
0.16482340349625402,0.14886039886039887,0.018072289156626505
0.14822771213748656,0.05531686358754028,0.16379310344827586
0.11473880597014925,0.11436950146627566,0.07526881720430108
0.13930348258706468,0.0,0.0
0.14616870573084353,0.1383116883116883,0.0006587615283267457
0.16535714285714287,0.11731207289293849,0.1437170805116629
0.145351823317925,0.13562005277044856,0.0
0.017391304347826087,0.0,0.0
0.1561574269995768,0.1567959096719216,0.09783549783549783
0.15338345864661654,0.15441565309360128,0.07879428873611846
0.15356489945155394,0.13429106808244848,0.0637101811367895
0.15571428571428572,0.11566731141199227,0.0
0.17522498676548437,0.12430632630410655,0.04495005549389567
0.14784778540237056,0.12813908564069543,0.12988734261100066
0.17392857142857143,0.14126807563959956,0.13964313421256788
0.13487297921478061,0.14553990610328638,0.04976525821596244
0.14285714285714285,0.10968921389396709,0.054113345521023766
0.125,0.0,0.0
0.1446124763705104,0.0,0.0
